image_id,contrast_rms,sharpness,snr_db,mean_intensity,std_intensity,entropy
0,0.30216357,23461.10406217055,-6.550828218460083,0.547783374786377,0.16552017629146576,7.420957464616101
1,0.34985217,34282.069618049936,-7.861865162849426,0.565911054611206,0.1979852169752121,7.638200154988434
2,0.33757508,32983.500375718286,-7.611411809921265,0.5662316083908081,0.19114567339420319,7.608788234676999
3,0.19816677,7652.59854096703,-1.4387398958206177,0.6306565999984741,0.12497518211603165,6.898450171806278
4,0.19808446,7431.680527705742,-1.7600470781326294,0.5960791707038879,0.11807402223348618,6.833834101730881
5,0.1092787,2231.029280681602,3.282656669616699,0.6362137198448181,0.0695246085524559,5.039816153005445
6,0.07631825,1159.455045891126,6.47815465927124,0.6610851883888245,0.05045286566019058,4.775495002539012
7,0.10048287,1996.8401161358288,4.928577542304993,0.7247301936149597,0.07282297313213348,5.112647133280835
8,0.33804178,29022.669491089073,-7.175763249397278,0.5757892727851868,0.19464083015918732,7.622652737071862
9,0.31084967,27769.185855584266,-6.803637742996216,0.5673861503601074,0.17637179791927338,7.49673541709259
10,0.22814737,12441.76794192097,-3.7281543016433716,0.5941929221153259,0.13556355237960815,7.109179181859593
11,0.11956498,3493.723795325594,1.7513294517993927,0.59256511926651,0.07085003703832626,6.062216516289521
12,0.2931447,21031.785101131518,-6.202595829963684,0.5632162094116211,0.16510385274887085,7.407035930285557
13,0.10804965,2909.181597339467,2.3619046807289124,0.6254305839538574,0.0675775557756424,5.586495704904308
14,0.09643756,2193.8491834376764,3.788086473941803,0.638200581073761,0.061546508222818375,5.42250279436033
15,0.102103494,2698.354750360364,2.769727110862732,0.6256563663482666,0.06388170272111893,5.451173638152086
16,0.26260152,18639.19870731325,-5.300056338310242,0.5712487101554871,0.15001077950000763,7.269611276970944
17,0.3158818,24752.969545134798,-6.645219326019287,0.5670909285545349,0.17913369834423065,7.527593649608425
18,0.37247,42397.670005253385,-8.7024587392807,0.5703514814376831,0.21243880689144135,7.726667120111184
19,0.14612374,2955.6261509673286,1.769946813583374,0.5715159177780151,0.08351204544305801,5.444451487122092
20,0.18340755,4626.440556471767,0.20710840821266174,0.5956377983093262,0.1092444658279419,6.259716121466457
21,0.19093312,5443.379058412093,-0.6074465438723564,0.6046898365020752,0.11545532196760178,6.30539344962126
22,0.4356196,55670.26864854081,-9.861307740211487,0.5565570592880249,0.2424471527338028,7.867118091035209
23,0.3897718,41847.911638729376,-8.776628971099854,0.5787497162818909,0.22558030486106873,7.787510714391425
24,0.40286833,51133.51801970799,-9.331892132759094,0.5659767985343933,0.22801412642002106,7.808016527433603
25,0.4896963,71667.28878534699,-11.059510707855225,0.541400134563446,0.2651216387748718,7.923996082206966
26,0.48336193,63804.80459979216,-10.425395965576172,0.5430115461349487,0.26247110962867737,7.926442842456464
27,0.54146266,84390.6633122582,-11.729764938354492,0.5297380089759827,0.28683334589004517,7.97181874252952
28,0.43170485,57162.73001036352,-10.157955884933472,0.5309144854545593,0.22919835150241852,7.8248273627892715
29,0.44131687,56242.61332892934,-10.15899658203125,0.5335700511932373,0.23547346889972687,7.848705205951509
30,0.45706388,65037.082761229896,-10.571496486663818,0.5313977599143982,0.24288272857666016,7.8889718482939015
31,0.05844386,922.1674165320564,8.133899569511414,0.6628216505050659,0.03873785585165024,4.386826110646817
32,0.05720072,849.3536327918933,8.327969312667847,0.6561499834060669,0.037532251328229904,3.9470732889741456
33,0.07284784,1379.9862896634459,6.549648642539978,0.7107579708099365,0.051777184009552,4.881084629987001
34,0.3981864,50546.59947197877,-9.612491130828857,0.5496878623962402,0.21887822449207306,7.778493806385848
35,0.31156096,24894.90591741909,-7.218221426010132,0.5483728051185608,0.17085155844688416,7.458458010104992
36,0.440656,57921.869794394755,-10.019363164901733,0.5577437281608582,0.24577312171459198,7.8798636140831935
37,0.066068925,1039.6494240210684,6.972857117652893,0.628325343132019,0.041512779891490936,4.22553593173408
38,0.05956144,913.1790116503555,8.210159540176392,0.6682966351509094,0.03980470821261406,4.194919109489605
39,0.065293774,1190.0670582518285,6.484215259552002,0.6257888078689575,0.04086011275649071,4.083736420588307
40,0.28707182,20234.774801042167,-5.522584915161133,0.564410388469696,0.1620263159275055,7.373645426401038
41,0.26651543,17594.02168784525,-4.822498857975006,0.571845293045044,0.15240558981895447,7.275059910096615
42,0.18612953,8109.615842907391,-1.6898387670516968,0.5868591666221619,0.10923181474208832,6.752105331775997
